(1, 'Swim_tot', None, 3.8, 3.8, '2015-10-10 00:50:00.0000000', '2015-10-10 00:50:00.0000000', 4.6, -3.4, None)
(2, 'Transition_1', None, None, 3.8, '2015-10-10 00:52:00.0000000', '2015-10-10 00:01:00.0000000', None, -0.3, None)
(3, None, 'Bike', 8.0, 11.8, '2015-10-10 01:05:00.0000000', '2015-10-10 00:12:00.0000000', 38.3, 0.0, '26.1')
(4, None, 'Bike', 12.6, 16.4, '2015-10-10 01:09:00.0000000', '2015-10-10 00:04:00.0000000', 64.9, 0.0, '26.1')
(5, None, 'Bike', 18.3, 22.1, '2015-10-10 01:18:00.0000000', '2015-10-10 00:08:00.0000000', 40.0, 0.0, '26.1')
(6, None, 'Bike', 50.7, 54.5, '2015-10-10 02:03:00.0000000', '2015-10-10 00:45:00.0000000', 42.4, 0.0, '26.1')
(7, None, 'Bike', 70.2, 74.0, '2015-10-10 02:34:00.0000000', '2015-10-10 00:31:00.0000000', 37.6, -0.8, '26.1')
(8, None, 'Bike', 96.9, 100.7, '2015-10-10 03:17:00.0000000', '2015-10-10 00:42:00.0000000', 37.5, -2.0, '30')
(9, None, 'Bike', 123.4, 127.2, '2015-10-10 03:52:00.0000000', '2015-10-10 00:35:00.0000000', 45.5, -1.3, '30')
(10, None, 'Bike', 142.9, 146.7, '2015-10-10 04:20:00.0000000', '2015-10-10 00:27:00.0000000', 41.9, -2.4, '30.5')
(11, None, 'Bike', 175.4, 179.2, '2015-10-10 05:10:00.0000000', '2015-10-10 00:49:00.0000000', 39.4, -4.6, '31.1')
(12, None, 'Bike', 180.2, 184.0, '2015-10-10 05:20:00.0000000', '2015-10-10 00:09:00.0000000', 29.1, -0.9, '31.1')
(13, 'Bike_tot', None, 180.2, 184.0, '2015-10-10 05:20:00.0000000', '2015-10-10 04:27:00.0000000', 40.4, -12.2, None)
(14, 'Transition_2', None, None, 184.0, '2015-10-10 05:22:00.0000000', '2015-10-10 00:02:00.0000000', None, -0.65, None)
(15, None, 'Run', 4.8, 188.8, '2015-10-10 05:39:00.0000000', '2015-10-10 00:17:00.0000000', 16.6, -1.8, '31.1')
(16, None, 'Run', 8.4, 192.4, '2015-10-10 05:53:00.0000000', '2015-10-10 00:13:00.0000000', 15.8, -1.6, '31.1')
(17, None, 'Run', 11.9, 195.9, '2015-10-10 06:07:00.0000000', '2015-10-10 00:14:00.0000000', 15.4, -1.3, '31.1')
(18, None, 'Run', 16.4, 200.4, '2015-10-10 06:25:00.0000000', '2015-10-10 00:18:00.0000000', 14.6, -2.0, '31.1')
(19, None, 'Run', 22.4, 206.4, '2015-10-10 06:51:00.0000000', '2015-10-10 00:25:00.0000000', 13.9, -2.6, '31.1')
(20, None, 'Run', 26.1, 210.1, '2015-10-10 07:07:00.0000000', '2015-10-10 00:16:00.0000000', 13.9, -2.0, '30.5')
(21, None, 'Run', 28.6, 212.6, '2015-10-10 07:16:00.0000000', '2015-10-10 00:09:00.0000000', 16.6, -2.5, '30.5')
(22, None, 'Run', 31.1, 215.1, '2015-10-10 07:27:00.0000000', '2015-10-10 00:10:00.0000000', 13.6, -2.6, '30.5')
(23, None, 'Run', 34.8, 218.8, '2015-10-10 07:42:00.0000000', '2015-10-10 00:15:00.0000000', 13.9, -3.9, '30.5')
(24, None, 'Run', 40.7, 224.7, '2015-10-10 08:07:00.0000000', '2015-10-10 00:24:00.0000000', 14.3, -4.7, '31.6')
(25, None, 'Run', 42.2, 226.2, '2015-10-10 08:14:00.0000000', '2015-10-10 00:06:00.0000000', 12.7, -0.4, '31.6')
(26, 'Run_tot', None, 42.2, 226.2, '2015-10-10 08:14:00.0000000', '2015-10-10 02:52:00.0000000', 14.6, -25.5, None)
(27, 'Total', None, 226.2, 226.2, '2015-10-10 08:14:00.0000000', '2015-10-10 08:14:00.0000000', 27.5, -42.0, None)